id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,nombre,valoracion,bedrooms,beds,baths
954754255169318387,Rental unit in Sevilla · 4.89 · 4 bedrooms · 6 beds · 3.5 baths,92573910,Esther,Casco Antiguo,Santa Cruz,37.38768,-5.99117,Entire home/apt,636.0,1,9,2023-11-27,2.06,42,190,9,A/SE/00243,Rental unit in Sevilla,4.89,4,6,3.5
936103338905594630,Rental unit in Sevilla · 5.0 · 1 bedroom · 2 beds · 1 bath,44248001,Nacho,Casco Antiguo,Feria,37.3977021,-5.9921776,Entire home/apt,101.0,1,12,2023-12-22,3.91,10,247,12,VFT/SE/10760,Rental unit in Sevilla,5.0,1,2,1
34117784,Rental unit in Sevilla · 4.61 · 2 bedrooms · 2 beds · 1 bath,256890071,Enrique,Casco Antiguo,Arenal,37.38513,-5.99765,Entire home/apt,99.0,2,226,2023-12-03,3.97,1,132,54,CTC-2018218128,Rental unit in Sevilla,4.61,2,2,1
30108496,Rental unit in Sevilla · 4.84 · 1 bedroom · 1 bed · 1 private bath,226090349,Vanessa,San Pablo - Santa Justa,San José Obrero,37.39336,-5.98062,Private room,34.0,2,83,2023-06-25,1.35,1,0,20,Exempt,Rental unit in Sevilla,4.84,1,1,1
811080111952074991,Hotel in Sevilla · 4.25 · 1 bedroom · 8 beds,496553914,San Isidoro,Casco Antiguo,Alfalfa,37.3891011,-5.9905902,Shared room,24.0,1,4,2023-04-07,0.36,10,91,4,H/SE/01319,Hotel in Sevilla,4.25,1,8,
17874816,Rental unit in Sevilla · 4.80 · 2 bedrooms · 3 beds · 1 bath,122370934,Ita,Nervión,San Bernardo,37.38368,-5.98419,Entire home/apt,109.0,2,143,2023-04-30,1.88,1,0,2,VFT/SE/02270,Rental unit in Sevilla,4.80,2,3,1
38657023,Rental unit in Sevilla · 4.81 · 2 bedrooms · 4 beds · 2 baths,184049152,Silvia,Casco Antiguo,Arenal,37.38881,-5.99783,Entire home/apt,224.0,1,67,2023-12-07,1.31,43,210,24,VFT/SE/06287,Rental unit in Sevilla,4.81,2,4,2
914232264621282655,Rental unit in Sevilla · 2 bedrooms · 3 beds · 1 bath,92566103,Antonio,Casco Antiguo,Feria,37.39992395884048,-5.988528715681522,Entire home/apt,110.0,1,0,,,2,52,0,Exempt,Rental unit in Sevilla,,2,3,1
971497757606839887,Rental unit in Sevilla · 4.86 · 1 bedroom · 1 bed · 1 bath,243308448,Fabio,Casco Antiguo,Feria,37.3985801,-5.9905596,Entire home/apt,116.0,3,14,2023-12-10,3.78,32,57,14,VFT/SE/11066,Rental unit in Sevilla,4.86,1,1,1
965221778827644684,Rental unit in Sevilla · 1 bedroom · 2 beds · 1 bath,4262133,Angeles,Casco Antiguo,Alfalfa,37.3903,-5.99376,Entire home/apt,206.0,2,1,2023-09-28,0.32,7,152,1,VFT/SE/3617,Rental unit in Sevilla,,1,2,1
9488337,Rental unit in Sevilla · 4.78 · 2 bedrooms · 4 beds · 2 baths,20505911,Apartamentos-Campana,Casco Antiguo,"Encarnación, Regina",37.39329,-5.99473,Entire home/apt,,3,118,2023-11-19,1.21,12,0,7,VFT/SE/01648,Rental unit in Sevilla,4.78,2,4,2
14313091,Rental unit in Sevilla · 4.60 · 1 bedroom · 1 bed · 1 bath,87497509,Miguel,Casco Antiguo,San Julián,37.40008,-5.98536,Entire home/apt,100.0,2,174,2023-10-29,1.96,2,63,3,VFT/SE/03945,Rental unit in Sevilla,4.60,1,1,1
853551908122352880,Rental unit in Sevilla · 4.69 · 2 bedrooms · 2 beds · 1 bath,209748933,Mariano,Casco Antiguo,"Encarnación, Regina",37.393784,-5.9934748,Entire home/apt,258.0,1,13,2023-12-01,1.46,44,63,13,VFT/SE/02399,Rental unit in Sevilla,4.69,2,2,1
45182673,Rental unit in Sevilla · 4.67 · 1 bedroom · 3 beds · 1 bath,352723560,Fepece,Casco Antiguo,Alfalfa,37.39102,-5.9898,Entire home/apt,64.0,2,79,2023-12-07,2.03,6,2,13,VFT/SE/06466,Rental unit in Sevilla,4.67,1,3,1
45939289,Condo in Sevilla · 1 bedroom · 1 bed · 2 shared baths,217281911,Raquel,Palmera - Bellavista,Bami,37.3608,-5.97657,Private room,57.0,2,0,,,1,358,0,Exempt,Condo in Sevilla,,1,1,2
720718270950661581,Rental unit in Sevilla · 2 bedrooms · 3 beds · 1 bath,480408885,Pro-K Desarrollos Inmobiliarios,Casco Antiguo,Arenal,37.38671,-5.99489,Entire home/apt,426.0,1,0,,,4,152,0,VFT/SE/09152,Rental unit in Sevilla,,2,3,1
656237960148923295,Rental unit in Sevilla · 4.31 · 2 bedrooms · 4 beds · 1 bath,3647689,Pilar Y Alberto,Casco Antiguo,"Encarnación, Regina",37.39402,-5.98837,Entire home/apt,163.0,1,55,2023-12-22,3.06,7,102,32,VFT/SE/04706,Rental unit in Sevilla,4.31,2,4,1
41708486,Rental unit in Sevilla · 4.73 · 1 bedroom · 1 bed · 1 bath,56838814,Veoapartment,Casco Antiguo,Santa Cruz,37.38857,-5.99253,Entire home/apt,101.0,1,115,2023-12-20,2.78,34,271,32,VFT/SE/00521,Rental unit in Sevilla,4.73,1,1,1
42084736,Rental unit in Sevilla · 4.72 · 3 bedrooms · 4 beds · 1 bath,209748933,Mariano,Sur,"Prado, Parque María Luisa",37.37687,-5.98449,Entire home/apt,314.0,1,47,2023-12-09,0.99,44,85,9,VFT/SE/06627,Rental unit in Sevilla,4.72,3,4,1
