id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
887366197197087548,San Bernardo VII - Darya Living,511060541,Pablo,Centro,Universidad,40.42735422000274,-3.706687435029577,Entire home/apt,210,6,18,2024-12-04,1.26,11,120,16,
887367549635724060,San Bernardo VIII - Darya Living,511060541,Pablo,Centro,Universidad,40.42891,-3.70538,Entire home/apt,216,8,26,2024-12-03,1.46,11,81,19,
887369065530040222,San Bernardo IX - Darya Living,511060541,Pablo,Centro,Universidad,40.42909401043654,-3.7064109104391196,Entire home/apt,140,30,0,,,11,59,0,
887370364452841789,San Bernardo XI - Darya Living,511060541,Pablo,Centro,Universidad,40.42734,-3.70508,Entire home/apt,216,30,3,2024-12-07,0.18,11,79,2,
887371783337074661,San Bernardo XII - Darya Living,511060541,Pablo,Centro,Universidad,40.42700944011535,-3.706443719848448,Entire home/apt,223,6,13,2024-06-25,0.74,11,1,5,
887396898998637786,"Apartamento, Espectacular, Excelente Ubicación.",362170290,Azucena,Arganzuela,Palos de Moguer,40.403651696139384,-3.6939328518657373,Entire home/apt,115,1,81,2024-12-01,4.37,3,65,57,
887415265341763963,Homeclub | Cozy and Coworking Apartment in Cuzco,438136382,Home Club,Tetuán,Castillejos,40.4605048,-3.694754,Entire home/apt,114,1,1,2023-09-28,0.07,320,67,0,
887418328031756397,Lujo con espectaculares vistas,79842856,Sergio,Tetuán,Valdeacederas,40.46872532860286,-3.707239486588726,Entire home/apt,190,2,0,,,1,16,0,
887424619765632340,"La Latina, apartamento moderno, 2 hab, wifi, a/c",504570811,Jorge,Centro,Palacio,40.40753,-3.71296,Entire home/apt,80,2,63,2024-11-22,3.33,1,336,43,
887425753207364009,Zona RetiroMoratalaz,192849323,Clelia,Moratalaz,Media Legua,40.41565629999999,-3.6588998,Private room,35,1,87,2024-07-24,4.51,2,22,35,
887492147864976109,"Amplio apartamento 2hab, 2 baños en calle Mayor",9885245,My Mad Madrid,Centro,Palacio,40.41620517093332,-3.70880179931067,Entire home/apt,95,2,55,2024-11-13,2.86,61,327,35,
887546058063672270,Estiloso piso con patio privado,37032566,Carlos,Tetuán,Valdeacederas,40.4649,-3.70156,Entire home/apt,103,2,42,2024-11-10,2.20,6,340,26,
887556623478958360,Loft luminos y moderno,68703009,Virginia,San Blas - Canillejas,Simancas,40.440101534311374,-3.6237997320099065,Entire home/apt,81,1,91,2024-12-01,4.71,3,150,52,
887567870750199367,Habitación en Madrid,73577983,Samantha Jessica,Villaverde,Butarque,40.3411,-3.67476,Private room,,1,3,2023-07-09,0.16,1,0,0,
887573347811699055,Galez - Studio and terrace in Ríos Rosas,346367515,Ukio,Chamberí,Rios Rosas,40.43995,-3.69959,Entire home/apt,103,31,0,,,332,219,0,
